"1";"1";"1";"206"
"2";"1";"1";"222"
"3";"2";"1";"261"
"4";"1";"1";"225"
"5";"2";"2";"A4T"
"6";"2";"3";"N01"
"7";"2";"3";"249"
"8";"1";"2";"107"
"9";"1";"2";"102"
"10";"3";"3";"424"
"11";"1";"4";"601"
"12";"1";"1";"202"
"13";"1";"1";"205"
"14";"2";"5";"151"
"15";"2";"3";"369"
"16";"1";"3";"410"
"17";"2";"1";"001"
"18";"3";"3";"411"
"19";"1";"3";"411"
"20";"1";"3";"403"
"21";"3";"1";"204"
"22";"1";"1";"208"
"23";"2";"1";"GCH"
"24";"1";"6";"704"
"25";"4";"7";"J09"
"26";"2";"8";"A7T"
"27";"2";"9";"147"
"28";"4";"3";"E02"
"29";"3";"8";"309"
"30";"2";"1";"259"
"31";"2";"10";"073"
"32";"2";"11";"357"
"33";"2";"11";"283"
"34";"2";"11";"027"
"35";"4";"3";"E25"
"36";"1";"10";"110"
"37";"1";"12";"311"
"38";"1";"1";"210"
"39";"5";"3";
"40";"1";"11";"706"
"41";"3";"1";"210"
"42";"1";"3";"416"
"43";"2";"3";"037"
"44";"2";"4";"115"
"45";"1";"13";"111"
"46";"2";"9";"N04"
"47";"2";"1";"107"
"48";"2";"1";"262"
"49";"2";"3";"127"
"50";"2";"11";"149"
"51";"2";"12";"044"
"52";"1";"8";"317"
"53";"2";"5";"349"
"54";"2";"8";"103"
"55";"2";"3";"299"
"56";"3";"3";"463"
"57";"2";"14";"004"
"58";"2";"3";"175"
"59";"6";"5";"D02"
"60";"2";"3";"999"
"61";"1";"3";"429"
"62";"2";"3";"394"
"63";"2";"2";"021"
"64";"2";"3";"032"
"65";"1";"3";"423"
"66";"4";"1";"E11"
"67";"2";"1";"A03"
"68";"2";"1";"129"
"69";"3";"5";"509"
"70";"2";"8";"019"
"71";"1";"5";"501"
"72";"3";"9";"519"
"73";"2";"5";"339"
"74";"2";"4";"N03"
"75";"2";"4";"114"
"76";"2";"1";"370"
"77";"2";"10";"072"
"78";"2";"3";"365"
"79";"4";"6";"E09"
"80";"7";"3";"820"
"81";"2";"3";"250"
"82";"2";"3";"A0T"
"83";"3";"3";"453"
"84";"1";"3";"419"
"85";"4";"3";"E33"
"86";"2";"15";"168"
"87";"1";"6";"701"
"88";"3";"14";"214"
"89";"2";"7";"336"
"90";"3";"3";"423"
"91";"1";"3";"406"
"92";"2";"3";"017"
"93";"3";"3";"422"
"94";"3";"3";"429"
"95";"1";"5";"505"
"96";"8";"5";"813"
"97";"1";"5";"506"
"98";"3";"9";"513"
"99";"2";"3";"230"
"100";"1";"15";"518"
"101";"2";"5";"258"
"102";"2";"9";"014"
"103";"2";"11";"226"
"104";"3";"15";"517"
"105";"2";"15";"346"
"106";"2";"15";"391"
"107";"2";"1";"189"
"108";"2";"1";"291"
"109";"2";"16";"347"
"110";"2";"1";"266"
"111";"1";"3";"461"
"112";"2";"3";"247"
"113";"1";"17";"402"
"114";"2";"3";"244"
"115";"8";"3";"818"
"116";"2";"6";"015"
"117";"2";"9";"289"
"118";"2";"2";"018"
"119";"1";"3";"408"
"120";"1";"3";"469"
"121";"2";"1";"006"
"122";"2";"1";"A5T"
"123";"1";"14";"215"
"124";"2";"16";"269"
"125";"2";"3";"337"
"126";"1";"5";"503"
"127";"1";"6";"715"
"128";"2";"3";"326"
"129";"2";"7";"061"
"130";"1";"14";"224"
"131";"2";"14";"007"
"132";"2";"14";"204"
"133";"2";"14";"064"
"134";"1";"3";"404"
"135";"2";"3";"371"
"136";"2";"3";"191"
"137";"1";"3";"443"
"138";"2";"3";"243"
"139";"6";"3";"375"
"140";"1";"3";"407"
"141";"1";"3";"466"
"142";"4";"3";"E01"
"143";"1";"1";"209"
