"1";"D";
"2";"H";
"3";"B";
"4";"O";
"5";"L";
"6";"I";
"7";"A";
"8";"C";
"9";"F";
"10";"K";
"11";"J";
"12";"R";
"13";"G";
"14";"E";
"15";"S";
"16";"N";
"17";"P";
"18";"X";
"19";"M";
